title,description,category,location,image_url,related_link,st_date,end_date,st_time,end_time
Stamps Health Services Welcome Week Immunizations Event,"Students, have your immunization requirements fulfilled during Welcome Week at Stamps Health Services! ",,Stamps Health Services,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/StampsBandaid_FB_1.jpg?itok=0AR04vLr,https://www.calendar.gatech.edu/event/623587,"Monday, August 12, 2019","Monday, August 12, 2019",08:00,15:00
GradHiring 2019,Are you a graduate student who has been offered and accepted a job with Georgia Tech? If so you must attend this event.,Other/Miscellaneous,"Clough Undergraduate Learning Commons (CULC), 3rd Floor",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/GradHiring_2019_0.png?itok=OeChuzwL,https://www.calendar.gatech.edu/event/622976,"Wednesday, August 14, 2019","Wednesday, August 14, 2019",09:00,16:00
Training by Turnitin:FeedBack Studio & Plagarism Framework ,Turnitin Trainings ,Training/Workshop,Online,gatech_logo.png,https://www.calendar.gatech.edu/event/624318,"Wednesday, August 14, 2019","Wednesday, August 14, 2019",09:00,11:00
Gradescope Overview,Gradescope Overview,Training/Workshop,Online,gatech_logo.png,https://www.calendar.gatech.edu/event/624320,"Wednesday, August 14, 2019","Wednesday, August 14, 2019",13:00,15:00
SENIC Webinar: Elionix ELS-G100 100 kV Electron Beam Lithography System – Enabling Nanotechnology,This 30-minute webinar will provide an overview of the ELS-G100 system with a discussion of key features and capabilities followed by time for Q & A.,"Career/Professional development,Seminar/Lecture/Colloquium",Online Webinar,gatech_logo.png,https://www.calendar.gatech.edu/event/624067,"Wednesday, August 14, 2019","Wednesday, August 14, 2019",13:30,14:30
First-year FASET: Georgia Tech-Lorraine information table at the Resource Fair! ,Come learn about studying at Tech's European Campus at the FASET Resource Fair!,Career/Professional development,"Student Center, 3rd Floor",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/FASET-SU19_Calendar_4.png?itok=obtOtArV,https://www.calendar.gatech.edu/event/623000,"Wednesday, August 14, 2019","Wednesday, August 14, 2019",14:00,16:00
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
Raksha Bandhan,A Hindu festival celebrating the love and duty between brothers and sisters.,Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/615891,"Thursday, August 15, 2019","Thursday, August 15, 2019",00:00,23:59
Exchange FASET Orientation,"The one-day Exchange Student session is designed to acclimate you to the academic environment at Tech, the support services available, the rich traditions, and the campus itself.",Other/Miscellaneous,Georgia Tech Campus,gatech_logo.png,https://www.calendar.gatech.edu/event/622683,"Thursday, August 15, 2019","Thursday, August 15, 2019",00:00,23:59
Transfer FASET Orientation,"Georgia Tech's orientation program for new undergraduate students (first-year, exchange, and transfers) as well as their parents, family members, and guests. ",Other/Miscellaneous,Georgia Tech Campus,gatech_logo.png,https://www.calendar.gatech.edu/event/622682,"Thursday, August 15, 2019","Thursday, August 15, 2019",00:00,23:59
First-year Students Move In,First-year students move onto campus for 2019-2020,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623004,"Monday, August 12, 2019","Monday, August 12, 2019",00:00,23:59
Conference: Advancing a Research Network for Sustainable Urban Infrastructure,One of 28 NSF Sustainable Urban Systems Conferences that are being held across the country as the NSF explores the potential for Sustainable Urban Systems Research Networks.,,Georgia Tech Campus,gatech_logo.png,https://www.calendar.gatech.edu/event/621997,"Thursday, August 15, 2019","Thursday, August 15, 2019",00:00,23:59
Stamps Health Services Welcome Week Immunizations Event,"Students, have your immunization requirements fulfilled during Welcome Week at Stamps Health Services! ",,Stamps Health Services,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/StampsBandaid_FB_1.jpg?itok=0AR04vLr,https://www.calendar.gatech.edu/event/623587,"Monday, August 12, 2019","Monday, August 12, 2019",08:00,15:00
GradHiring 2019,Are you a graduate student who has been offered and accepted a job with Georgia Tech? If so you must attend this event.,Other/Miscellaneous,"Clough Undergraduate Learning Commons (CULC), 3rd Floor",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/GradHiring_2019_0.png?itok=OeChuzwL,https://www.calendar.gatech.edu/event/622976,"Wednesday, August 14, 2019","Wednesday, August 14, 2019",09:00,16:00
Training by Turning Point - Overview ,Training by Turning Point - Overview ,Training/Workshop,Online ,gatech_logo.png,https://www.calendar.gatech.edu/event/624321,"Thursday, August 15, 2019","Thursday, August 15, 2019",09:00,15:00
Transfer FASET: Georgia Tech-Lorraine information table at the Resource Fair! ,Come learn about studying at Tech's European Campus at the FASET Resource Fair!,Career/Professional development,"Student Center, 3rd Floor",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/FASET-SU19_Calendar.png?itok=O6QsdYmk,https://www.calendar.gatech.edu/event/622920,"Thursday, August 15, 2019","Thursday, August 15, 2019",15:30,17:00
Catholic Student Organization Freshmen Welcome Dinner, We will have a welcome dinner after the 7:00pm Assumption High Mass at the GT Catholic Center. ,"Other/Miscellaneous,Student sponsored","Catholic Center, 172 4th St NW, Atlanta, GA 30313",gatech_logo.png,https://www.calendar.gatech.edu/event/624500,"Thursday, August 15, 2019","Thursday, August 15, 2019",19:00,22:30
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
First-year Students Move In,First-year students move onto campus for 2019-2020,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623004,"Monday, August 12, 2019","Monday, August 12, 2019",00:00,23:59
Conference: Advancing a Research Network for Sustainable Urban Infrastructure,One of 28 NSF Sustainable Urban Systems Conferences that are being held across the country as the NSF explores the potential for Sustainable Urban Systems Research Networks.,,Georgia Tech Campus,gatech_logo.png,https://www.calendar.gatech.edu/event/621997,"Thursday, August 15, 2019","Thursday, August 15, 2019",00:00,23:59
Stamps Health Services Welcome Week Immunizations Event,"Students, have your immunization requirements fulfilled during Welcome Week at Stamps Health Services! ",,Stamps Health Services,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/StampsBandaid_FB_1.jpg?itok=0AR04vLr,https://www.calendar.gatech.edu/event/623587,"Monday, August 12, 2019","Monday, August 12, 2019",08:00,15:00
TA Orientation,New graduate and undergraduate teaching assistants should attend TAO.,Career/Professional development,Clough Commons Room 144,gatech_logo.png,https://www.calendar.gatech.edu/event/623289,"Friday, August 16, 2019","Friday, August 16, 2019",08:15,12:00
Training by Kaltura - Kaltura Essentials,Training by Kaltura - Kaltura Essentials,Training/Workshop,Online ,gatech_logo.png,https://www.calendar.gatech.edu/event/624322,"Friday, August 16, 2019","Friday, August 16, 2019",09:00,10:30
New Robotics Students Welcome and Orientation,"IRIM and RoboGrads will host a new robotics students welcome and orientation on August 16, 2019.",Other/Miscellaneous,Various Campus Locations ,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/tav48098_0_0.jpg?itok=2ppTNPUN,https://www.calendar.gatech.edu/event/624255,"Friday, August 16, 2019","Friday, August 16, 2019",11:00,18:00
OMED Presents Transitions: Graduate and Transfer Student Workshop,"The Transitions program enables graduate students and dual-degree/transfer students to network with peers, faculty, and staff as they settle into Georgia Tech.","Career/Professional development,Training/Workshop",Student Success Center (Press Rooms A&B and Tech Rec),https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/transitions.png?itok=-Ym0nF91,https://www.calendar.gatech.edu/event/622568,"Friday, August 16, 2019","Friday, August 16, 2019",11:30,17:00
Success Summit,The Center for Academic Success sponsors a half-day of workshops and faculty/student panels for undergraduates.,"Conference/Symposium,Other/Miscellaneous,Seminar/Lecture/Colloquium,Training/Workshop",Clough 102,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Success_Summit%2C_2019.png?itok=8uG0cLu8,https://www.calendar.gatech.edu/event/624044,"Friday, August 16, 2019","Friday, August 16, 2019",13:00,17:00
Training by Respondus - Respondus 4.0 and Lockdown Browser,Training by Respondus - Respondus 4.0 and Lockdown Browser,Training/Workshop,Online ,gatech_logo.png,https://www.calendar.gatech.edu/event/624323,"Friday, August 16, 2019","Friday, August 16, 2019",14:00,15:00
First Friday 2019  ,Annual First Friday welcome program for first-year students.,Other/Miscellaneous,Tech Green,gatech_logo.png,https://www.calendar.gatech.edu/event/622922,"Friday, August 16, 2019","Friday, August 16, 2019",17:00,20:00
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
2019 Move-in for All Students Who are Not First-year,Move-in 2019 information for all students who are not first-years.,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623005,"Saturday, August 17, 2019","Saturday, August 17, 2019",00:00,23:59
First-year Students Move In,First-year students move onto campus for 2019-2020,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623004,"Monday, August 12, 2019","Monday, August 12, 2019",00:00,23:59
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
2019 Move-in for All Students Who are Not First-year,Move-in 2019 information for all students who are not first-years.,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623005,"Saturday, August 17, 2019","Saturday, August 17, 2019",00:00,23:59
First-year Students Move In,First-year students move onto campus for 2019-2020,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623004,"Monday, August 12, 2019","Monday, August 12, 2019",00:00,23:59
Garden Work Day,"We are starting our first work day of the academic year before school starts so we may harvest and weed the garden, as well as add some additional items for the fence.",Student sponsored,"Community Garden, behind the Instructional Center",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/82cc5483-a9ef-4cb7-a110-34c9741c66d6e08aab2a-4086-4796-93ee-e17605514e41_0.jpg?itok=_ZnVxJBO,https://www.calendar.gatech.edu/event/623985,"Sunday, August 18, 2019","Sunday, August 18, 2019",09:00,12:00
Burdell's Brunch,Join us for brunch as we celebrate the beginning of a new academic year at Georgia Tech!,Other/Miscellaneous,Georgia Tech Hotel and Conference Center,gatech_logo.png,https://www.calendar.gatech.edu/event/624525,"Sunday, August 18, 2019","Sunday, August 18, 2019",11:30,13:00
New Student Convocation,"An event to welcome new students to Georgia Tech's community, celebrating the Institute's rich traditions and strong academic reputation.",Other/Miscellaneous,McCamish Pavilion,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/freshmen-convocation-2_0_1.jpg?itok=uOeIP-28,https://www.calendar.gatech.edu/event/622636,"Sunday, August 18, 2019","Sunday, August 18, 2019",17:00,18:00
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
AlcoholEdu and Sexual Assault Prevention for Undergraduates - Part 1 Deadline,Georgia Tech requires all incoming undergraduate and transfer students to complete Parts 1 & 2 of both AlcoholEdu and Sexual Assault Prevention for Undergraduate Students. ,,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622466,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
First Day of Class,First day of classes for the Fall 2019 semester.,Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622721,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
Georgia Tech Scavenger Hunt for Chemical Elements,Join the hunt for elements associated with campus buildings and win fabulous prizes!,Other/Miscellaneous,Georgia Tech Campus,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Scavenger_Hunt_Prizes_Graphic.png?itok=w-X6MsjG,https://www.calendar.gatech.edu/event/623346,"Monday, August 19, 2019","Friday, August 23, 2019",00:00,23:59
#RATS Digital Scavenger Hunt in the Library Aug. 19-23,Get to know your Georgia Tech Library the first week of school and celebrate with a pizza party on the seventh floor complete with loads of vintage video games. ,Other/Miscellaneous,Georgia Tech Library: Crosland Tower,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Rats_header-01_0.png?itok=qhsR9Do2,https://www.calendar.gatech.edu/event/623906,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
First Day of Class Pictures,Stop by to get your picture taken on the first day of school! ,Other/Miscellaneous,Tech Green,gatech_logo.png,https://www.calendar.gatech.edu/event/624533,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
BuzzBike application opens for fall semester,The application for BuzzBike fall semester bike rental opens,Other/Miscellaneous,Online,gatech_logo.png,https://www.calendar.gatech.edu/event/624727,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
CRC Group Fitness Preview Week,Current Campus Recreation (CRC) patrons are invited to enjoy as many fitness classes as they would like for free during preview week! ,,Campus Recreation Center (CRC),https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Fitness_FB1_0.jpg?itok=-S2meEUD,https://www.calendar.gatech.edu/event/624793,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
Extended Hours for Package Pickup at the Post Office,Extended Hours are back at the Post Office Package Pickup Window!,,Georgia Tech Post Office,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Extended_Package_Hours_8.5x11_F19_Extended_Hours_8.5x11_Layout_1_0.jpg?itok=vM0yXl1s,https://www.calendar.gatech.edu/event/624698,"Monday, August 19, 2019","Monday, August 19, 2019",08:30,18:00
Fall 2019 Flag Football Classic: Registration Opens,The entire Georgia Tech community is invited to kick off the fall intramural season with the Flag Football Classic!,Sports/Athletics,Campus Recreation Center (CRC),https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Co-Rec_Flag_Football_1.jpg?itok=4e63aDzy,https://www.calendar.gatech.edu/event/623596,"Monday, August 19, 2019","Monday, August 19, 2019",09:00,23:59
Museum Exhibit: Cut and Paste,"Open from August 19 - November 14, 2019",Arts and Performance,Robert C. Williams Museum of Papermaking,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/LRodriguez_CutPaste02_CMYK_1.jpg?itok=B4TdXdmQ,https://www.calendar.gatech.edu/event/624301,"Monday, August 19, 2019","Monday, August 19, 2019",09:00,17:00
Let's Talk,“Let’s Talk” is a program that provides consultations with Georgia Tech counselors. ,Other/Miscellaneous,"Clough Undergraduate Learning Commons, Communication Center, Suite 447",gatech_logo.png,https://www.calendar.gatech.edu/event/624019,"Monday, August 19, 2019","Monday, August 19, 2019",10:00,12:00
Petascale Computing Institute 2019,PCI-2019 is a free week-long distributed training event intended for people seeking to enhance their knowledge and skills for scaling their research software to petascale and emerging extreme-scale computing systems. ,Career/Professional development,"EBB Krone – Children’s Healthcare of Atlanta Seminar Room (950 Atlantic Drive, Atlanta, GA 30332)",gatech_logo.png,https://www.calendar.gatech.edu/event/623177,"Monday, August 19, 2019","Friday, August 23, 2019",11:00,18:00
"Canvas Training By Instructure - Turnitin LTI Tips and Tools - Aug 19, 2019",Turnitin LTI Tips and Tools session focuses on the integration between Canvas and Turnitin which makes it easier to leverage Turnitin’s capabilities for instructors and students directly from within Canvas.,Training/Workshop,Online ,gatech_logo.png,https://www.calendar.gatech.edu/event/624732,"Monday, August 19, 2019","Monday, August 19, 2019",13:30,14:30
Interactive Resume Workshop,"During this workshop, Graduate Career Advisors from the Center for Career Discovery and Development will provide tips for creating effective resumes.",Career/Professional development,Bill Moore Student Success Center Clary Theater,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Grad_Marker_6.jpg?itok=wwm6mkKH,https://www.calendar.gatech.edu/event/624298,"Monday, August 19, 2019","Monday, August 19, 2019",17:15,18:30
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
Georgia Tech Scavenger Hunt for Chemical Elements,Join the hunt for elements associated with campus buildings and win fabulous prizes!,Other/Miscellaneous,Georgia Tech Campus,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Scavenger_Hunt_Prizes_Graphic.png?itok=w-X6MsjG,https://www.calendar.gatech.edu/event/623346,"Monday, August 19, 2019","Friday, August 23, 2019",00:00,23:59
Petascale Computing Institute 2019,PCI-2019 is a free week-long distributed training event intended for people seeking to enhance their knowledge and skills for scaling their research software to petascale and emerging extreme-scale computing systems. ,Career/Professional development,"EBB Krone – Children’s Healthcare of Atlanta Seminar Room (950 Atlantic Drive, Atlanta, GA 30332)",gatech_logo.png,https://www.calendar.gatech.edu/event/623177,"Monday, August 19, 2019","Friday, August 23, 2019",11:00,18:00
#RATS Digital Scavenger Hunt in the Library Aug. 19-23,Get to know your Georgia Tech Library the first week of school and celebrate with a pizza party on the seventh floor complete with loads of vintage video games. ,Other/Miscellaneous,Georgia Tech Library: Crosland Tower,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Rats_header-01_0.png?itok=qhsR9Do2,https://www.calendar.gatech.edu/event/623906,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
CRC Group Fitness Preview Week,Current Campus Recreation (CRC) patrons are invited to enjoy as many fitness classes as they would like for free during preview week! ,,Campus Recreation Center (CRC),https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Fitness_FB1_0.jpg?itok=-S2meEUD,https://www.calendar.gatech.edu/event/624793,"Monday, August 19, 2019","Monday, August 19, 2019",00:00,23:59
SCL Course: Demand-Driven Supply Chain Strategy,Learn about different lenses of strategic planning applied to supply chain management and the specific implications on supply chain operations.,Career/Professional development,Georgia Tech Savannah Campus,gatech_logo.png,https://www.calendar.gatech.edu/event/613397,"Tuesday, August 20, 2019","Friday, August 23, 2019",08:30,12:00
Extended Hours for Package Pickup at the Post Office,Extended Hours are back at the Post Office Package Pickup Window!,,Georgia Tech Post Office,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Extended_Package_Hours_8.5x11_F19_Extended_Hours_8.5x11_Layout_1_0.jpg?itok=vM0yXl1s,https://www.calendar.gatech.edu/event/624698,"Monday, August 19, 2019","Monday, August 19, 2019",08:30,18:00
Museum Exhibit: Cut and Paste,"Open from August 19 - November 14, 2019",Arts and Performance,Robert C. Williams Museum of Papermaking,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/LRodriguez_CutPaste02_CMYK_1.jpg?itok=B4TdXdmQ,https://www.calendar.gatech.edu/event/624301,"Monday, August 19, 2019","Monday, August 19, 2019",09:00,17:00
"Canvas Training By Instructure - Home Pages - Aug 20, 2019",Home Pages will guide participants through the creation of beautiful and functionally designed Home Pages that are intuitive for students.,Training/Workshop,Online ,gatech_logo.png,https://www.calendar.gatech.edu/event/624733,"Tuesday, August 20, 2019","Tuesday, August 20, 2019",09:00,10:00
Hi from Health Initiatives Welcome Event ,Save the date for the second annual Hi from Health Initiatives event!,,Lawn between Stamps Health Services and the Campus Recreation Center (CRC) ,gatech_logo.png,https://www.calendar.gatech.edu/event/623928,"Tuesday, August 20, 2019","Tuesday, August 20, 2019",11:00,14:00
Let's Talk,“Let’s Talk” is a program that provides consultations with Georgia Tech counselors. ,Other/Miscellaneous,"Center for Engineering Education and Diversity (CEED), Pettit Microelectronics (MiRC) Building",gatech_logo.png,https://www.calendar.gatech.edu/event/624020,"Tuesday, August 20, 2019","Tuesday, August 20, 2019",14:00,16:00
Reports from the Future Symposium,Students present their take on the future.,Conference/Symposium,"Scheller College pf Business, Room 314",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/IMG_5281.jpg?itok=kpyZREF7,https://www.calendar.gatech.edu/event/622574,"Tuesday, August 20, 2019","Tuesday, August 20, 2019",16:00,18:00
Vertically Integrated Projects (VIP) Fall 2019 Poster Session,Open to all students looking for research opportunities,Other/Miscellaneous,"Atrium, Klaus Advanced Computing Building",gatech_logo.png,https://www.calendar.gatech.edu/event/623461,"Tuesday, August 20, 2019","Tuesday, August 20, 2019",16:00,17:00
Career Fair Strategies: Targeting Employers ,Planning to attend a career fair? Learn how to prepare at this workshop.,Career/Professional development,Bill Moore Student Success Center President's Suites C and D,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/Grad_Marker_5.jpg?itok=JIrzcqa3,https://www.calendar.gatech.edu/event/624302,"Tuesday, August 20, 2019","Tuesday, August 20, 2019",17:15,18:30
2019 Officials Clinic Welcome Back Info Session,Get the skills you need to officiate/score keep for any of the intramural sports offered at the CRC for the Fall semester.,,CRC Room 249 ,gatech_logo.png,https://www.calendar.gatech.edu/event/624405,"Tuesday, August 20, 2019","Tuesday, August 20, 2019",18:00,20:00
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
